action, id, source, target, label
NEW ITERATION, 0, , ,
insert, 0, 0, 1, 0
insert, 4, 1, 36, 1
insert, 5, 1, 3, 2
insert, 10, 3, 5, 1
insert, 11, 3, 5, 2
insert, 15, 5, 6, 0
insert, 18, 6, 7, 0
insert, 19, 6, 10, 1
insert, 22, 7, 16, 1
insert, 23, 7, 9, 2
insert, 24, 8, 12, 0
insert, 25, 8, 9, 1
insert, 26, 8, 11, 2
insert, 29, 9, 11, 2
insert, 30, 10, 14, 0
insert, 31, 10, 20, 1
insert, 33, 11, 16, 0
insert, 36, 12, 13, 0
insert, 37, 12, 16, 1
insert, 40, 13, 17, 1
insert, 41, 13, 15, 2
insert, 43, 14, 26, 1
insert, 44, 14, 19, 2
insert, 46, 15, 17, 1
insert, 47, 15, 17, 2
insert, 54, 18, 22, 0
insert, 55, 18, 19, 1
insert, 56, 18, 21, 2
insert, 59, 19, 21, 2
insert, 60, 20, 30, 0
insert, 61, 20, 36, 1
insert, 63, 21, 26, 0
insert, 66, 22, 23, 0
insert, 67, 22, 26, 1
insert, 70, 23, 32, 1
insert, 71, 23, 25, 2
insert, 72, 24, 28, 0
insert, 73, 24, 25, 1
insert, 74, 24, 27, 2
insert, 77, 25, 27, 2
insert, 81, 27, 32, 0
insert, 84, 28, 29, 0
insert, 85, 28, 32, 1
insert, 88, 29, 33, 1
insert, 89, 29, 31, 2
insert, 91, 30, 42, 1
insert, 92, 30, 35, 2
insert, 94, 31, 33, 1
insert, 95, 31, 33, 2
insert, 102, 34, 38, 0
insert, 103, 34, 35, 1
insert, 104, 34, 37, 2
insert, 107, 35, 37, 2
insert, 108, 36, 58, 0
insert, 111, 37, 42, 0
insert, 114, 38, 39, 0
insert, 115, 38, 42, 1
insert, 118, 39, 48, 1
insert, 119, 39, 41, 2
insert, 120, 40, 44, 0
insert, 121, 40, 41, 1
insert, 122, 40, 43, 2
insert, 125, 41, 43, 2
insert, 129, 43, 48, 0
insert, 132, 44, 45, 0
insert, 133, 44, 48, 1
insert, 136, 45, 54, 1
insert, 137, 45, 47, 2
insert, 138, 46, 50, 0
insert, 139, 46, 47, 1
insert, 140, 46, 49, 2
insert, 143, 47, 49, 2
insert, 147, 49, 54, 0
insert, 150, 50, 51, 0
insert, 151, 50, 54, 1
insert, 154, 51, 60, 1
insert, 155, 51, 53, 2
insert, 156, 52, 56, 0
insert, 157, 52, 53, 1
insert, 158, 52, 55, 2
insert, 161, 53, 55, 2
insert, 165, 55, 60, 0
insert, 168, 56, 57, 0
insert, 169, 56, 60, 1
insert, 172, 57, 61, 1
insert, 173, 57, 59, 2
insert, 175, 58, 70, 1
insert, 176, 58, 63, 2
insert, 178, 59, 61, 1
insert, 179, 59, 61, 2
insert, 186, 62, 66, 0
insert, 187, 62, 63, 1
insert, 188, 62, 65, 2
insert, 191, 63, 65, 2
insert, 195, 65, 70, 0
insert, 198, 66, 67, 0
insert, 199, 66, 70, 1
insert, 202, 67, 76, 1
insert, 203, 67, 69, 2
insert, 204, 68, 72, 0
insert, 205, 68, 69, 1
insert, 206, 68, 71, 2
insert, 209, 69, 71, 2
insert, 213, 71, 76, 0
insert, 216, 72, 73, 0
insert, 217, 72, 76, 1
insert, 220, 73, 82, 1
insert, 221, 73, 75, 2
insert, 222, 74, 78, 0
insert, 223, 74, 75, 1
insert, 224, 74, 77, 2
insert, 227, 75, 77, 2
insert, 231, 77, 82, 0
insert, 234, 78, 79, 0
insert, 235, 78, 82, 1
insert, 238, 79, 88, 1
insert, 239, 79, 81, 2
insert, 240, 80, 84, 0
insert, 241, 80, 81, 1
insert, 242, 80, 83, 2
insert, 245, 81, 83, 2
insert, 249, 83, 88, 0
insert, 252, 84, 85, 0
insert, 253, 84, 88, 1
insert, 256, 85, 94, 1
insert, 257, 85, 87, 2
insert, 258, 86, 90, 0
insert, 259, 86, 87, 1
insert, 260, 86, 89, 2
insert, 263, 87, 89, 2
insert, 267, 89, 94, 0
insert, 270, 90, 91, 0
insert, 271, 90, 94, 1
insert, 274, 91, 100, 1
insert, 275, 91, 93, 2
insert, 276, 92, 96, 0
insert, 277, 92, 93, 1
insert, 278, 92, 95, 2
insert, 281, 93, 95, 2
insert, 285, 95, 100, 0
insert, 288, 96, 97, 0
insert, 289, 96, 100, 1
insert, 292, 97, 101, 1
insert, 293, 97, 99, 2
insert, 298, 99, 101, 1
insert, 299, 99, 101, 2
